owner,member,count
IvaCategory,DOMESTIC_GENERAL,188
IVARegime,GENERAL,170
IvaRateKind,GENERAL,168
IvaTerritorialScope,ES_MAINLAND,147
IvaRate,RATE_21,110
ProrrataRegisterRegime,GENERAL,109
IvaCategory,INTRA_COMMUNITY_SUPPLY,104
EUMemberState,DE,90
IvaTerritorialScope,EU_MEMBER,79
IvaFlowDirection,REPERCUTIDO,77
EUMemberState,ES,69
IvaTerritorialScope,ES_CANARIAS,64
ProrrataProvisionalProvenance,CARRIED_PRIOR_DEFINITIVA,62
IvaCategory,DOMESTIC_EXEMPT,59
IvaDeductionFactKind,DOMESTIC_CURRENT,59
IvaFlowDirection,SOPORTADO,58
EntityType,NATURAL_PERSON,55
IvaRateKind,REDUCED,51
CustomerTaxStatus,B2B_IVA_REGISTERED,49
IvaCategory,EXPORT_THIRD_COUNTRY_ZERO_RATED,47
SpendingCategory,MATERIAL_OFICINA,47
SpendingCategory,TELEFONIA_MOVIL,47
IvaCategory,INTRA_COMMUNITY_ACQUISITION_REVERSE_CHARGE,46
IvaCategory,DOMESTIC_REVERSE_CHARGE,45
BienInversionKind,MUEBLE,42
IvaDeductionEvidenceAuthority,INVOICE_EVIDENCE,41
IvaFlowDirection,INVERSION_SUJETO_PASIVO,40
IvaRateKind,SUPER_REDUCED,40
ProrrataRegisterRegime,ESPECIAL,39
IvaTerritorialScope,THIRD_COUNTRY,38
M303RegimeComposition,GENERAL,37
IvaCategory,DOMESTIC_REDUCED,35
M303TaxTerritory,COMMON_REGIME,35
SpendingCategory,SUMINISTROS_HOME_OFFICE_LUZ,35
TransactionKind,GOODS,35
SectorDiferenciadoLetra,A,34
CustomerTaxStatus,B2C_CONSUMER,32
EntityType,LEGAL_ENTITY,32
IvaCategory,DOMESTIC_SUPER_REDUCED,31
IvaRate,EXEMPT,31
SpendingCategory,GASTOS_BANCARIOS,31
DescendantRelacion,ADOPTADO,28
FiscalResidency,NON_RESIDENT_IRNR,28
InputClassification,COMMON,28
IvaDeductionFactKind,INTRA_EU_CURRENT,28
EUMemberState,FR,26
IvaCategory,INTRA_COMMUNITY_SERVICE_ACQUISITION_REVERSE_CHARGE,25
IvaRateKind,ZERO,25
BienInversionDisposalRegime,SUJETA_NO_EXENTA,24
FiscalResidency,RESIDENT_IRPF,24
SpendingCategory,CUOTAS_AUTONOMOS_SS,24
TransactionKind,SERVICES_GENERAL,24
IvaCashAccountingTreatment,SUPPLIER_REGIME,22
ProrrataProvisionalProvenance,AEAT_AUTORIZADA,22
IrpfIncomeCategory,ACTIVIDAD_ECONOMICA,21
IvaCashAccountingTreatment,NONE,21
IvaCategory,RECARGO_EQUIVALENCIA,21
TransactionKind,OSS_UNION_SERVICES,21
IvaCategory,IMPORT_THIRD_COUNTRY,20
IvaTerritorialScope,ES_CEUTA_MELILLA,20
ProrrataEspecialTransitionKind,OPCION,20
IvaRate,RATE_10,19
OssIossRegime,UNION_SCHEME,19
IrpfEstimationRegime,OBJETIVA,18
IvaCategory,DOMESTIC_ZERO,18
IvaCategory,OPERACION_NO_SUJETA,18
IrpfEstimationRegime,DIRECTA_NORMAL,17
IvaCategory,DOMESTIC_NOT_SUBJECT,17
ProrrataKind,DEFINITIVA,17
IvaCategory,UNKNOWN,16
LegalEntityForm,SL,16
SpendingCategory,ASESORIA_FISCAL,16
DescendantRelacion,ACOGIMIENTO_TEMPORAL,15
InvoiceClass,RECTIFICATIVA,15
InvoiceClass,SIMPLIFICADA,15
IvaRate,RATE_0,15
IvaRate,RATE_2,15
IvaExemptionArticle,ART_20_UNO_8,14
RetencionClave,A,14
ConceptoIngreso,SUBVENCION_CAPITAL,13
InputClassification,EXCLUSIVELY_NON_DEDUCTIBLE,13
InvoiceOperationDateRole,OPERATION_PERFORMED,13
IvaCategory,INTRA_COMMUNITY_SERVICE_SUPPLY,13
ProrrataRegisterRegime,NINGUNA,13
IrpfSpecialRegime,IMPATRIADO,12
IvaRate,RATE_4,12
EUMemberState,XI,11
IvaCategory,EXPORT_ASSIMILATED_ZERO_RATED,11
ProrrataEspecialTransitionKind,REVOCACION,11
ProrrataProvisionalProvenance,INICIO_ACTIVIDAD,11
DescendantRelacion,TUTELA,10
InvoiceClass,ORDINARIA,10
ProportionalityKind,FIXED_PERCENTAGE,10
DescendantRelacion,DESCENDIENTE,9
IVARegime,EXENTO,9
IrpfIncomeCategory,TRABAJO,9
IvaDeductionFactKind,IMPORT_CURRENT,9
IvaRate,NOT_SUBJECT,9
IvaRateKind,EXEMPT,9
SpendingCategory,ARRENDAMIENTO_VIVIENDA_AFECTO,9
SpendingCategory,SUMINISTROS_HOME_OFFICE_INTERNET,9
IVARegime,SIMPLIFICADO,8
IvaSettlementSide,DEDUCIBLE,8
IvaSettlementSide,DEVENGADA,8
ProportionalityKind,FULL_DEDUCTIBLE,8
RetencionClave,G,8
SituacionFamiliar,SOLTERO,8
SpendingCategory,MANUTENCION_DIETAS_NACIONAL,8
SpendingCategory,MUTUALIDAD_ALTERNATIVA,8
SpendingCategory,SEGUROS_SALUD_AUTONOMO,8
BienInversionKind,INMUEBLE,7
ConceptoIngreso,SUBVENCION_CORRIENTE,7
DescendantRelacion,ACOGIMIENTO_PREADOPTIVO_O_PERMANENTE,7
ForeignAssetObligationGroup,CUENTAS,7
InputClassification,EXCLUSIVELY_DEDUCTIBLE,7
IrpfIncomeCategory,CAPITAL_INMOBILIARIO,7
IvaCategory,ERRONEOUS_INVOICE,7
IvaDeductionEvidenceAuthority,INTRA_EU_SELF_ASSESSMENT,7
IvaFlowDirection,OPERACION_CON_INVERSION,7
M303RegimeComposition,SIMPLIFIED,7
ProportionalityKind,STATUTORY_CAP,7
ProportionalityKind,USAGE_RATIO_HOME_AREA,7
SpendingCategory,HARDWARE_AMORTIZABLE,7
SpendingCategory,SOFTWARE_SUSCRIPCION,7
Art104TresExclusion,NON_HABITUAL_REAL_ESTATE_OR_FINANCIAL,6
EUMemberState,IT,6
IrpfEstimationRegime,DIRECTA_SIMPLIFICADA,6
IvaCashAccountingTreatment,TAXPAYER_REGIME,6
IvaDeductionFactKind,INVESTMENT_GOODS_REGULARISATION,6
IvaKindApplicability,DOES_NOT_ARISE,6
ProrrataRegime,GENERAL,6
SpendingCategory,ASESORIA_CONTABLE,6
StatutoryCapPeriod,YEAR_PER_PERSON,6
BienInversionDisposalRegime,EXENTA_O_NO_SUJETA,5
ConceptoIngreso,INDEMNIZACION,5
DescendantRelacion,GUARDA_Y_CUSTODIA_JUDICIAL,5
EUMemberState,RO,5
IrpfSpecialRegime,GENERAL,5
IvaComponentPresence,UNKNOWN,5
IvaComponentPresence,ZERO_BY_LAW,5
IvaDeductionFactKind,DOMESTIC_INVESTMENT,5
M303RegimeComposition,MIXED,5
ProportionalityKind,USAGE_RATIO_PERSONAL,5
ProrrataKind,PROVISIONAL,5
SpendingCategory,SUMINISTROS_HOME_OFFICE_AGUA,5
SpendingCategory,TELEFONIA_FIJA,5
TransactionKind,OSS_UNION_GOODS_DISTANCE_SALE,5
Art104TresExclusion,DIRECT_IVA_CUOTAS,4
CustomerTaxStatus,UNKNOWN,4
EUMemberState,GR,4
EntityType,ATTRIBUTION_ENTITY,4
IVARegime,NO_APLICA,4
IVARegime,REAGP,4
InvoiceLegalMention,CASH_ACCOUNTING_REGIME,4
IrpfIncomeCategory,PENSION,4
IvaCategory,INTRA_COMMUNITY_TRIANGULATION,4
IvaCategory,REAGP_COMPENSATION,4
IvaCategory,REGIMEN_SIMPLIFICADO,4
IvaRate,RATE_5,4
IvaRate,RATE_7_5,4
IvaRetencionExpectation,UNKNOWN,4
IvaRetencionRole,TAXPAYER_CREDIT,4
LegalEntityForm,COOPERATIVA,4
OssIossRegime,EXTERNAL_SCHEME,4
ProrrataProvisionalProvenance,INTERRUMPIDA_TRES_ULTIMOS,4
SpendingCategory,ARRENDAMIENTO_LOCAL,4
SpendingCategory,GASTOS_FINANCIEROS,4
SpendingCategory,IBI_VIVIENDA_AFECTO,4
SpendingCategory,PUBLICIDAD_MARKETING,4
SpendingCategory,VEHICULO_COMBUSTIBLE,4
ThirdPartyDeclarationRole,THIRD_PARTY_FEE_COLLECTOR,4
ConceptoIngreso,ORDINARIO,3
EUMemberState,DK,3
EUMemberState,EE,3
EUMemberState,FI,3
EUMemberState,LT,3
ForeignAssetObligationGroup,MONEDAS_VIRTUALES,3
InvoiceLegalMention,REVERSE_CHARGE,3
InvoiceOperationDateRole,ADVANCE_PAYMENT_RECEIVED,3
