owner,count,files,unique_members,percent_class_attributes,percent_total
IvaCategory,733,159,21,17.65,6.34
IvaTerritorialScope,348,39,5,8.38,3.01
SpendingCategory,304,53,27,7.32,2.63
IvaRateKind,293,68,5,7.05,2.54
EUMemberState,242,52,28,5.83,2.09
IvaRate,219,74,9,5.27,1.9
IVARegime,197,87,6,4.74,1.7
IvaFlowDirection,182,39,4,4.38,1.58
ProrrataRegisterRegime,161,32,3,3.88,1.39
IvaDeductionFactKind,111,50,7,2.67,0.96
TransactionKind,101,18,11,2.43,0.87
ProrrataProvisionalProvenance,99,27,4,2.38,0.86
EntityType,91,31,3,2.19,0.79
CustomerTaxStatus,87,15,5,2.09,0.75
DescendantRelacion,74,9,6,1.78,0.64
IvaDeductionEvidenceAuthority,56,40,6,1.35,0.48
FiscalResidency,52,13,2,1.25,0.45
BienInversionKind,49,13,2,1.18,0.42
IvaCashAccountingTreatment,49,21,3,1.18,0.42
M303RegimeComposition,49,24,3,1.18,0.42
InputClassification,48,11,3,1.16,0.42
IrpfEstimationRegime,41,17,3,0.99,0.35
IrpfIncomeCategory,41,16,4,0.99,0.35
InvoiceClass,40,12,3,0.96,0.35
ProportionalityKind,39,13,7,0.94,0.34
SectorDiferenciadoLetra,39,10,3,0.94,0.34
M303TaxTerritory,38,21,2,0.91,0.33
ProrrataEspecialTransitionKind,31,6,2,0.75,0.27
BienInversionDisposalRegime,29,6,2,0.7,0.25
ConceptoIngreso,28,5,4,0.67,0.24
OssIossRegime,25,9,3,0.6,0.22
RetencionClave,23,5,3,0.55,0.2
ProrrataKind,22,8,2,0.53,0.19
LegalEntityForm,21,12,3,0.51,0.18
IrpfSpecialRegime,17,3,2,0.41,0.15
SituacionFamiliar,17,1,5,0.41,0.15
InvoiceOperationDateRole,16,7,2,0.39,0.14
IvaExemptionArticle,16,6,3,0.39,0.14
IvaSettlementSide,16,2,2,0.39,0.14
ForeignAssetObligationGroup,14,4,4,0.34,0.12
IvaComponentPresence,13,2,3,0.31,0.11
Art104TresExclusion,12,4,4,0.29,0.1
IvaRetencionRole,12,2,4,0.29,0.1
IvaKindApplicability,9,3,2,0.22,0.08
InvoiceLegalMention,7,2,2,0.17,0.06
IvaRetencionExpectation,7,1,3,0.17,0.06
ProrrataRegime,7,2,2,0.17,0.06
StatutoryCapPeriod,6,3,1,0.14,0.05
ThirdPartyDeclarationRole,6,2,3,0.14,0.05
IvaCuotaSettlement,5,1,4,0.12,0.04
IrpfActivityKind,4,1,2,0.1,0.03
SituacionFamiliarM145,3,1,3,0.07,0.03
TravelAgencyMediationType,3,1,2,0.07,0.03
IvaArt69DosService,2,1,2,0.05,0.02
