cluster,offender,subpattern,rule,path,line,column,description
RESIDUAL-unclustered,invalid-assignment,invalid-assignment: Object of type `{}` is not assignable to attribute `{}` on type `{}`,invalid-assignment,dev/corpus/tests/test_extract_corpus_sidecars.py,30,5,"invalid-assignment: Object of type `Literal[""Datos""]` is not assignable to attribute `title` on type `_WorksheetOrChartsheetLike | None`"
RESIDUAL-unclustered,unresolved-attribute,unresolved-attribute: Attribute `{}` is not defined on `{}` in union `{}`,unresolved-attribute,dev/corpus/tests/test_extract_corpus_sidecars.py,31,5,unresolved-attribute: Attribute `append` is not defined on `None` in union `_WorksheetOrChartsheetLike | None`
RESIDUAL-unclustered,unresolved-attribute,unresolved-attribute: Attribute `{}` is not defined on `{}` in union `{}`,unresolved-attribute,dev/corpus/tests/test_extract_corpus_sidecars.py,32,5,unresolved-attribute: Attribute `append` is not defined on `None` in union `_WorksheetOrChartsheetLike | None`
RESIDUAL-unclustered,unresolved-attribute,unresolved-attribute: Attribute `{}` is not defined on `{}` in union `{}`,unresolved-attribute,dev/corpus/tests/test_extraction_sidecar_freshness.py,112,31,unresolved-attribute: Attribute `years` is not defined on `None` in union `SupportedFilingYearsCatalogue | None`
RC5-missing-override-contract,NodeVisitor.visit_If,visit_If,missing-override-decorator,dev/quality/import_checker.py,613,9,missing-override-decorator: Method `visit_If` overrides `NodeVisitor.visit_If` but is not decorated with `@override`
RC5-missing-override-contract,NodeVisitor.visit_FunctionDef,visit_FunctionDef,missing-override-decorator,dev/quality/import_checker.py,625,9,missing-override-decorator: Method `visit_FunctionDef` overrides `NodeVisitor.visit_FunctionDef` but is not decorated with `@override`
RC5-missing-override-contract,NodeVisitor.visit_AsyncFunctionDef,visit_AsyncFunctionDef,missing-override-decorator,dev/quality/import_checker.py,628,9,missing-override-decorator: Method `visit_AsyncFunctionDef` overrides `NodeVisitor.visit_AsyncFunctionDef` but is not decorated with `@override`
RC5-missing-override-contract,NodeVisitor.visit_ClassDef,visit_ClassDef,missing-override-decorator,dev/quality/import_checker.py,631,9,missing-override-decorator: Method `visit_ClassDef` overrides `NodeVisitor.visit_ClassDef` but is not decorated with `@override`
RC5-missing-override-contract,NodeVisitor.visit_Import,visit_Import,missing-override-decorator,dev/quality/import_checker.py,640,9,missing-override-decorator: Method `visit_Import` overrides `NodeVisitor.visit_Import` but is not decorated with `@override`
RC5-missing-override-contract,NodeVisitor.visit_ImportFrom,visit_ImportFrom,missing-override-decorator,dev/quality/import_checker.py,645,9,missing-override-decorator: Method `visit_ImportFrom` overrides `NodeVisitor.visit_ImportFrom` but is not decorated with `@override`
