rule,description,count
missing-argument,"missing-argument: No arguments provided for required parameters `schema_id`, `schema_version`",212
invalid-argument-type,"invalid-argument-type: Argument to function `confirm_invoice_draft_from_evidence` is incorrect: Expected `str | None`, found `object`",205
invalid-argument-type,"invalid-argument-type: Argument to function `confirm_invoice_draft_from_evidence` is incorrect: Expected `Decimal | None`, found `object`",199
unresolved-attribute,unresolved-attribute: Class `IvaCategory` has no attribute `DOMESTIC_GENERAL`,188
missing-argument,missing-argument: No argument provided for required parameter `ports` of function `create_work_unit`,182
unresolved-attribute,unresolved-attribute: Class `IVARegime` has no attribute `GENERAL`,170
unresolved-attribute,unresolved-attribute: Class `IvaRateKind` has no attribute `GENERAL`,168
unknown-argument,unknown-argument: Argument `repository` does not match any known parameter of function `create_work_unit`,153
unresolved-attribute,unresolved-attribute: Class `IvaTerritorialScope` has no attribute `ES_MAINLAND`,147
missing-argument,missing-argument: No argument provided for required parameter `ports` of function `calculate_modelo_revision`,127
unknown-argument,unknown-argument: Argument `work_unit_repository` does not match any known parameter of function `calculate_modelo_revision`,124
unknown-argument,unknown-argument: Argument `calculation_repository` does not match any known parameter of function `calculate_modelo_revision`,122
missing-argument,"missing-argument: No arguments provided for required parameters `profile_create_context`, `profile_decode_context` of function `register_profile_with_credentials`",117
unknown-argument,unknown-argument: Argument `bucket_event_repository` does not match any known parameter of function `calculate_modelo_revision`,115
unresolved-attribute,unresolved-attribute: Class `IvaRate` has no attribute `RATE_21`,110
unresolved-attribute,unresolved-attribute: Class `ProrrataRegisterRegime` has no attribute `GENERAL`,109
unresolved-attribute,unresolved-attribute: Class `IvaCategory` has no attribute `INTRA_COMMUNITY_SUPPLY`,104
missing-argument,missing-argument: No argument provided for required parameter `ports` of function `calculate_modelo_revision_from_bucket_aggregation_with_diagnostics`,93
unknown-argument,unknown-argument: Argument `calculation_repository` does not match any known parameter of function `calculate_modelo_revision_from_bucket_aggregation_with_diagnostics`,91
unknown-argument,unknown-argument: Argument `work_unit_repository` does not match any known parameter of function `calculate_modelo_revision_from_bucket_aggregation_with_diagnostics`,91
unresolved-attribute,unresolved-attribute: Class `EUMemberState` has no attribute `DE`,90
missing-argument,missing-argument: No argument provided for required parameter `ports` of function `create_manual_transaction`,84
unknown-argument,unknown-argument: Argument `transaction_repository` does not match any known parameter of function `create_manual_transaction`,81
unknown-argument,unknown-argument: Argument `bucket_event_repository` does not match any known parameter of function `create_manual_transaction`,80
unknown-argument,unknown-argument: Argument `transaction_repository` does not match any known parameter of function `calculate_modelo_revision_from_bucket_aggregation_with_diagnostics`,80
unresolved-attribute,unresolved-attribute: Class `IvaTerritorialScope` has no attribute `EU_MEMBER`,79
unresolved-attribute,unresolved-attribute: Class `IvaFlowDirection` has no attribute `REPERCUTIDO`,77
missing-argument,missing-argument: No argument provided for required parameter `profile_decode_context` of function `login_profile`,72
unresolved-attribute,unresolved-attribute: Class `EUMemberState` has no attribute `ES`,69
invalid-argument-type,"invalid-argument-type: Argument to function `confirm_invoice_draft_from_evidence` is incorrect: Expected `date | None`, found `object`",67
invalid-argument-type,"invalid-argument-type: Argument to function `confirm_invoice_draft_from_evidence` is incorrect: Expected `str`, found `object`",67
unresolved-attribute,unresolved-attribute: Class `IvaTerritorialScope` has no attribute `ES_CANARIAS`,64
missing-argument,missing-argument: No argument provided for required parameter `operation` of function `classify_iva`,62
unresolved-attribute,unresolved-attribute: Class `ProrrataProvisionalProvenance` has no attribute `CARRIED_PRIOR_DEFINITIVA`,62
unresolved-attribute,unresolved-attribute: Class `IvaCategory` has no attribute `DOMESTIC_EXEMPT`,59
unresolved-attribute,unresolved-attribute: Class `IvaDeductionFactKind` has no attribute `DOMESTIC_CURRENT`,59
unresolved-attribute,unresolved-attribute: Class `IvaFlowDirection` has no attribute `SOPORTADO`,58
missing-argument,"missing-argument: No arguments provided for required parameters `modelo`, `target_casilla_id`, `activity_category_matcher`, `employment_category_matcher` of function `aggregate_renta_income_ledger`",56
unresolved-attribute,unresolved-attribute: Class `EntityType` has no attribute `NATURAL_PERSON`,55
missing-argument,missing-argument: No argument provided for required parameter `operation` of function `build_overview_calendar`,52
unknown-argument,unknown-argument: Argument `invoice_repository` does not match any known parameter of function `calculate_modelo_revision_from_bucket_aggregation_with_diagnostics`,52
unresolved-attribute,unresolved-attribute: Class `IvaRateKind` has no attribute `REDUCED`,51
unresolved-attribute,unresolved-attribute: Class `CustomerTaxStatus` has no attribute `B2B_IVA_REGISTERED`,49
