path,count,percent_total
src/cadrumo/adapters/persistence/profile/tests/test_evidence_draft.py,368,3.18
src/cadrumo/adapters/persistence/profile/tests/test_counterparty_side_selection.py,111,0.96
src/cadrumo/domain/iva/tests/test_classification.py,108,0.93
src/cadrumo/domain/iva/tests/test_intra_community_identification_axis.py,102,0.88
src/cadrumo/adapters/persistence/profile/tests/test_amend_flow.py,97,0.84
src/cadrumo/adapters/persistence/profile/tests/test_facturae_invoice_class_grounding.py,93,0.8
src/cadrumo/adapters/persistence/profile/tests/test_evidence_confirm_iva_category.py,91,0.79
src/cadrumo/domain/deadlines/tests/test_taxpayer_model.py,91,0.79
src/cadrumo/application/ledger/tests/test_classification_assembly.py,89,0.77
src/cadrumo/adapters/persistence/profile/tests/test_evidence_draft_printed_total.py,86,0.74
src/cadrumo/adapters/persistence/profile/tests/test_file_flow_verify.py,83,0.72
src/cadrumo/adapters/persistence/profile/tests/test_file_flow_calculation.py,77,0.67
src/cadrumo/adapters/persistence/profile/tests/test_file_flow_filing.py,77,0.67
src/cadrumo/domain/iva/tests/test_flow.py,77,0.67
src/cadrumo/domain/prorrata_register/tests/test_prorrata_register.py,77,0.67
src/cadrumo/adapters/persistence/profile/tests/test_dormant_m369_oss_resolver_live.py,74,0.64
src/cadrumo/adapters/persistence/profile/tests/test_m210_irnr_income_ledger.py,73,0.63
src/cadrumo/adapters/persistence/profile/tests/test_modelo_303_deductible_evidence_gate.py,73,0.63
src/cadrumo/domain/iva/tests/test_invoice_classification.py,73,0.63
src/cadrumo/application/aggregation/tests/test_iva_ledger_candidates.py,72,0.62
dev/registry/tests/test_creation.py,69,0.6
src/cadrumo/domain/iva/tests/test_party_fact_split.py,69,0.6
src/cadrumo/application/ledger/tests/test_ingestion_category_resolution.py,68,0.59
dev/registry/tests/test_ledger_iva_aggregation_binding_reverse_charge.py,66,0.57
src/cadrumo/domain/iva/tests/test_rate_grounding.py,65,0.56
src/cadrumo/adapters/persistence/profile/tests/test_filed_capture_calculation_history.py,64,0.55
src/cadrumo/adapters/persistence/profile/tests/test_source_resolver.py,64,0.55
src/cadrumo/entrypoints/live_state_composition.py,64,0.55
src/cadrumo/adapters/persistence/profile/tests/test_renta_ledger.py,63,0.55
src/cadrumo/application/overview/tests/test_applicability.py,63,0.55
src/cadrumo/adapters/persistence/profile/tests/test_bucket_aggregation_flow.py,62,0.54
src/cadrumo/domain/contribuyente/tests/test_deduccion_maternidad_0611.py,62,0.54
src/cadrumo/domain/iva/tests/test_outbound_service_localisation.py,58,0.5
dev/registry/facts.py,54,0.47
src/cadrumo/adapters/persistence/profile/tests/test_local_cross_period_carry.py,54,0.47
src/cadrumo/domain/iva/tests/test_component_expectations.py,54,0.47
src/cadrumo/domain/contribuyente/tests/test_descendant_relacion_axis.py,53,0.46
src/cadrumo/adapters/persistence/profile/tests/test_iva_wallet_engine_integration.py,51,0.44
src/cadrumo/adapters/persistence/profile/tests/test_profile_readiness_gate.py,50,0.43
src/cadrumo/application/ledger/tests/test_establishment_ladder.py,50,0.43
src/cadrumo/domain/renta/tests/test_ledger_expenses.py,50,0.43
src/cadrumo/application/aggregation/tests/test_iva_deduction_fact_taxonomy.py,49,0.42
src/cadrumo/domain/iva/tests/test_legal_basis_rate_grounding.py,48,0.42
src/cadrumo/domain/iva/tests/test_oss.py,46,0.4
dev/registry/tests/test_ledger_iva_aggregation_binding_exports_recargo.py,45,0.39
src/cadrumo/adapters/persistence/profile/tests/test_iva_ledger_prorrata_apportionment.py,44,0.38
src/cadrumo/adapters/persistence/profile/tests/test_renta_annual_reconciliations_fold_in_live.py,44,0.38
src/cadrumo/domain/iva/tests/test_saturation.py,43,0.37
src/cadrumo/application/overview/tests/test_calendar_taxpayer_model.py,42,0.36
src/cadrumo/domain/usage_ratios/tests/test_model.py,41,0.35
src/cadrumo/adapters/persistence/profile/tests/test_actions_update_evidence.py,40,0.35
src/cadrumo/adapters/persistence/profile/tests/test_verification_substance_workflow.py,40,0.35
src/cadrumo/domain/iva/tests/test_printed_country_name.py,40,0.35
src/cadrumo/adapters/persistence/profile/tests/test_e2e_ledger_m303_quarters_to_m390_annual.py,39,0.34
src/cadrumo/adapters/persistence/profile/tests/test_modelo_202_modality_lifecycle.py,39,0.34
dev/quality/import_health.py,38,0.33
dev/registry/tests/test_modelo_303_differentiated_deduction_endpoints.py,38,0.33
src/cadrumo/adapters/persistence/profile/tests/test_source_boundary_and_enrollment.py,38,0.33
src/cadrumo/application/aggregation/iva_ledger.py,38,0.33
src/cadrumo/application/aggregation/tests/test_iva_ledger.py,38,0.33
src/cadrumo/adapters/persistence/profile/tests/test_modelo_390_303_simplificado_fold_in_live.py,37,0.32
src/cadrumo/adapters/persistence/profile/tests/test_verificado_completo_regression.py,37,0.32
src/cadrumo/adapters/persistence/profile/tests/test_external_source_import.py,36,0.31
src/cadrumo/entrypoints/cli/tests/test_attach_evidence_under_finalized_revision.py,36,0.31
src/cadrumo/adapters/persistence/profile/tests/test_actions_create_evidence_validation.py,35,0.3
src/cadrumo/adapters/persistence/profile/tests/test_file_flow_events.py,35,0.3
src/cadrumo/adapters/persistence/profile/tests/test_history.py,35,0.3
src/cadrumo/application/ledger/tests/test_party_fact_demand.py,35,0.3
dev/registry/bindings.py,34,0.29
src/cadrumo/adapters/persistence/profile/tests/test_structured_country_degradation.py,34,0.29
src/cadrumo/adapters/persistence/storage/tests/test_runtime_attached_repositories_part1.py,34,0.29
src/cadrumo/adapters/persistence/profile/tests/test_amend_kind_resolution.py,33,0.29
src/cadrumo/adapters/persistence/profile/tests/test_e2e_ledger_m130_quarters_to_m100_annual.py,33,0.29
src/cadrumo/adapters/persistence/profile/tests/test_operator_transaction_recovery.py,33,0.29
src/cadrumo/domain/invoices/tests/test_models.py,33,0.29
src/cadrumo/adapters/outbound/aeat/sede/filed_observation_persistence.py,32,0.28
src/cadrumo/adapters/persistence/profile/tests/test_invoice_accumulative_cross_modelo_periods.py,32,0.28
src/cadrumo/adapters/persistence/profile/tests/test_confirm_path_establishment_reach.py,31,0.27
src/cadrumo/adapters/persistence/profile/tests/test_evidence_confirm_multi_rate.py,31,0.27
src/cadrumo/adapters/persistence/profile/tests/test_evidence_confirm_rate_derived_category.py,31,0.27
src/cadrumo/adapters/persistence/profile/tests/test_prorrata_regularizacion.py,31,0.27
src/cadrumo/adapters/persistence/profile/tests/test_evidence_draft_rate_slot.py,30,0.26
src/cadrumo/adapters/persistence/profile/tests/test_evidence_confirm_document_identity.py,29,0.25
src/cadrumo/adapters/persistence/profile/tests/test_evidence_confirm_recargo.py,29,0.25
src/cadrumo/application/overview/tests/test_calendar.py,29,0.25
src/cadrumo/domain/bienes_inversion/tests/test_record.py,29,0.25
src/cadrumo/domain/iva/tests/test_classification_carries_place_of_supply.py,29,0.25
src/cadrumo/entrypoints/cli/tests/test_prorrata_register_cli.py,29,0.25
src/cadrumo/adapters/persistence/profile/tests/test_evidence_confirm_grounds_for_renta.py,28,0.24
src/cadrumo/adapters/persistence/profile/tests/test_manual_add_idempotency.py,28,0.24
src/cadrumo/adapters/persistence/profile/tests/test_modelo_work_review.py,28,0.24
src/cadrumo/adapters/persistence/profile/tests/test_operator.py,28,0.24
src/cadrumo/adapters/persistence/profile/tests/test_verify_report_idempotent_collapse.py,28,0.24
src/cadrumo/application/aggregation/tests/test_m303_arrivals.py,28,0.24
src/cadrumo/adapters/persistence/profile/tests/test_iva_wallet_engine_filing.py,27,0.23
src/cadrumo/application/ledger/tests/test_supply_nature_operator_assertion.py,27,0.23
src/cadrumo/domain/invoices/tests/test_decomposition.py,27,0.23
dev/registry/tests/test_m390_2024_annual_manual_worked_example.py,26,0.23
src/cadrumo/adapters/persistence/profile/tests/test_evidence_foreign_currency_and_language.py,26,0.23
src/cadrumo/adapters/persistence/profile/tests/test_import_flow_mutation_guards.py,26,0.23
src/cadrumo/adapters/persistence/profile/tests/test_prorrata_especial_mandatory_live_emit.py,26,0.23
src/cadrumo/application/aggregation/tests/test_oss_ioss.py,26,0.23
src/cadrumo/application/ledger/tests/test_counterparty_establishment.py,26,0.23
src/cadrumo/adapters/persistence/profile/tests/test_actions_create_usage_ratio.py,25,0.22
src/cadrumo/adapters/persistence/profile/tests/test_iva_wallet_engine_seed_boundaries.py,25,0.22
src/cadrumo/adapters/persistence/profile/tests/test_m111_retenciones_observation_live.py,25,0.22
src/cadrumo/adapters/persistence/profile/tests/test_profile_binding_integration.py,25,0.22
src/cadrumo/adapters/persistence/profile/tests/test_revision_parent_lifecycle_admission.py,25,0.22
src/cadrumo/adapters/persistence/profile/tests/test_verify_ledger_drift_gate.py,25,0.22
src/cadrumo/application/filing/tests/test_producer_snapshot.py,25,0.22
src/cadrumo/adapters/persistence/profile/tests/_modelo_export_ports_support.py,24,0.21
src/cadrumo/adapters/persistence/profile/tests/test_cross_period_clean_state_enforcement.py,24,0.21
src/cadrumo/adapters/persistence/profile/tests/test_merge_refusals.py,24,0.21
src/cadrumo/adapters/persistence/profile/tests/test_source_mesh_calculation.py,24,0.21
src/cadrumo/adapters/persistence/profile/tests/test_split.py,24,0.21
src/cadrumo/application/aggregation/tests/test_income_sales_invoice_evidence.py,24,0.21
src/cadrumo/domain/calculations/registry/tests/test_modelo_390_rate_box_reachability.py,24,0.21
src/cadrumo/domain/iva/tests/test_prorrata.py,24,0.21
