expected,found,count
str | None,object,209
Decimal | None,object,199
str,object,74
date | None,object,67
CatalogueCreationPorts,object,34
CounterpartyEstablishmentRepositoryProtocol,object,34
InvoiceConfirmationPorts,object,34
InvoiceDraftExtractionPorts,object,34
LedgerEvidencePorts,object,34
PinnedAuthorityOperation,object,34
SupplyNature | None,object,34
"tuple[RegimeLegend, ...]",object,34
IntracomOperationType | None,object,33
IvaCategory | None,object,33
InvoiceClass | None,object,32
Sequence[FindingResolution],object,28
PinnedAuthorityOperation,ValidatedRegistryAuthority,19
str,X25519PrivateKey,16
Translatable,str,15
str | Buffer | SupportsInt | SupportsIndex | SupportsTrunc,object,14
BindingDefinition,_Binding,13
SecureObjectRepository | None,~AlwaysFalsy | SecureObjectRepository,11
"tuple[FiledDeclaracionObservationProtocol, ...]",tuple[_CalendarFiledObservation],11
Iterable[_BindingWithProvider],"tuple[BindingDefinition, ...]",8
SecureObjectRepository | None,object,6
str,str | int,6
FiledObservationProtocol,_FiledObservation,5
Path,Path | None,5
TransactionCatalogueCoCommitWriterProtocol | None,TransactionCatalogueRepositoryProtocol,5
TransactionCatalogueCoCommitWriterProtocol,TransactionCatalogueRepositoryProtocol,5
UsageRatioProfileLoader,"def _empty_usage_ratio_profile(*, bucket_id: str) -> UsageRatioProfile",5
BucketEventHistoryRepositoryProtocol,BucketEventHistoryRepositoryProtocol | None,4
CalculationRevisionCatalogueRepositoryProtocol,_CalculationRepository,4
EvidenceConsentToken | None,EvidenceConsentProof | None,4
Iterable[Unknown],<class 'IvaCategory'>,4
Iterable[Unknown],<class 'IvaTerritorialScope'>,4
LaxDate,date | None,4
LaxStr | None,Unknown | IvaDeductionClassificationProvenance,4
ModeloRecordCatalogueRepositoryProtocol,_FilingRepository,4
ProfileSessionResumeDoorV1,"(*, bucket_id) -> None",4
TransactionCatalogueCoCommitWriterProtocol | None,TransactionCatalogueRepositoryProtocol | None,4
TransactionCatalogueRepositoryProtocol,TransactionCatalogueRepositoryProtocol | None,4
WorkUnit,object,4
