rule,template,count
unresolved-attribute,unresolved-attribute: Class `{}` has no attribute `{}`,4154
missing-argument,missing-argument: No argument provided for required parameter `{}` of function `{}`,2107
unknown-argument,unknown-argument: Argument `{}` does not match any known parameter of function `{}`,1876
invalid-argument-type,"invalid-argument-type: Argument to function `{}` is incorrect: Expected `{}`, found `{}`",1157
missing-override-decorator,missing-override-decorator: Method `{}` overrides `{}` but is not decorated with `{}`,278
missing-argument,"missing-argument: No arguments provided for required parameters `{}`, `{}` of function `{}`",272
missing-argument,"missing-argument: No arguments provided for required parameters `{}`, `{}`",217
unresolved-attribute,unresolved-attribute: Object of type `{}` has no attribute `{}`,178
unsound-return-statement,unsound-return-statement: Unsound return statement: `{}` is not a subtype of `{}`,153
missing-argument,missing-argument: No argument provided for required parameter `{}` of bound method `{}`,138
invalid-argument-type,"invalid-argument-type: Argument is incorrect: Expected `{}`, found `{}`",134
missing-argument,"missing-argument: No arguments provided for required parameters `{}`, `{}`, `{}` of function `{}`",103
missing-argument,"missing-argument: No arguments provided for required parameters `{}`, `{}`, `{}`, `{}` of function `{}`",82
not-iterable,not-iterable: Object of type `{}` is not iterable,74
invalid-argument-type,"invalid-argument-type: Argument to `{}` is incorrect: Expected `{}`, found `{}`",72
missing-argument,missing-argument: No argument provided for required parameter `{}` of `{}`,72
unknown-argument,unknown-argument: Argument `{}` does not match any known parameter of `{}`,52
missing-argument,missing-argument: No argument provided for required parameter `{}`,49
unresolved-import,unresolved-import: Module `{}` has no member `{}`,47
not-subscriptable,not-subscriptable: Cannot subscript object of type `{}` with no `{}` method,33
unresolved-attribute,unresolved-attribute: Attribute `{}` is not defined on `{}` in union `{}`,28
invalid-return-type,"invalid-return-type: Return type does not match returned value: expected `{}`, found `{}`",22
unsound-assignment,unsound-assignment: Unsound assignment: `{}` is not a subtype of `{}`,22
invalid-argument-type,"invalid-argument-type: Argument to bound method `{}` is incorrect: Expected `{}`, found `{}`",20
invalid-argument-type,"invalid-argument-type: Argument to constructor `{}` is incorrect: Expected `{}`, found `{}`",19
call-non-callable,call-non-callable: Cannot instantiate class `{}`: This call will raise `{}` at runtime,18
unresolved-attribute,"unresolved-attribute: Attribute `{}` is not defined on `{}`, `{}`, `{}`, `{}`, `{}`, `{}` in union `{}`",14
unresolved-reference,unresolved-reference: Name `{}` used when not defined,14
missing-argument,"missing-argument: No arguments provided for required parameters `{}`, `{}`, `{}`, `{}`, `{}`, `{}`, `{}`, `{}`, `{}`, `{}`, `{}`",12
no-matching-overload,no-matching-overload: No overload of function `{}` matches arguments,11
missing-argument,"missing-argument: No arguments provided for required parameters `{}`, `{}`, `{}` of `{}`",10
unsupported-operator,unsupported-operator: Operator `{}` is not supported between objects of type `{}` and `{}`,9
unresolved-import,unresolved-import: Cannot resolve imported module `{}` - did you mean `{}`?,8
unknown-argument,unknown-argument: Argument `{}` does not match any known parameter of bound method `{}`,7
invalid-method-override,invalid-method-override: Invalid override of method `{}`: Definition is incompatible with `{}`,6
unresolved-attribute,unresolved-attribute: Function `{}` has no attribute `{}`,6
unresolved-attribute,unresolved-attribute: Module `{}` has no member `{}`,6
invalid-argument-type,invalid-argument-type: Argument to function `{}` is incorrect: Argument type `{}` does not satisfy upper bound `{}` of type variable `{}`,5
invalid-assignment,invalid-assignment: Object of type `{}` is not assignable to `{}`,5
unresolved-attribute,"unresolved-attribute: Attribute `{}` is not defined on `{}`, `{}`, `{}`, `{}` in union `{}`",5
unresolved-attribute,"unresolved-attribute: Attribute `{}` is not defined on `{}`, `{}`, `{}`, `{}`, `{}` in union `{}`",5
invalid-type-form,"invalid-type-form: Type arguments for `{}` must be `{}`, a literal value (int, bool, str, or bytes), or an enum member",4
missing-argument,"missing-argument: No arguments provided for required parameters `{}`, `{}` of `{}`",4
missing-type-argument,missing-type-argument: Missing type argument for generic class `{}` (expected 1 type argument),4
invalid-argument-type,"invalid-argument-type: Argument to class `{}` is incorrect: Expected `{}`, found `{}`",3
