owner,member,count
object,get,14
FormulaExpression,relation,10
BindingDefinition,typed_enum,9
BindingDefinition,selector,7
RentaIncomeObservation,withheld_derivation,7
DeadlineEngine,_registry,6
ValidatedRegistryAuthority,operation,5
ValidatedRegistryAuthority,source_root,4
WorkflowState,declarations,4
InventoryAnexoDResult,casilla_0177,3
InventoryAnexoDResult,casilla_0182,3
ProrrataRegularizacionFeedProjection,modelo_303_casilla_44_value,3
object,source_filing_year,3
"tuple[ModeloDefinition, RegistryCatalogues]",revisions,3
type[str],_from_registry,3
AST,body,2
CategoryT@resolve_first_slice_expense_routing,value,2
FiledDeclarationProtocol,ejercicio,2
GovernedFactSource,catalogues,2
GovernedFactSource,legal_evidence_text,2
ProrrataRegularizacionFeedProjection,modelo_303_casilla_44_id,2
object,amount,2
object,applied_amount,2
object,generated_amount,2
object,items,2
object,period,2
object,source_modelo,2
object,source_periods,2
object,taxpayer_nif,2
"(BindingDefinition, /) -> list[str]",__name__,1
BaseModel,temporal,1
CalculationObservationStorageProtocol,save,1
ConfigRepairResult,registry,1
EUMemberState,name,1
InventoryAnexoDResult,casilla_0181,1
ModeloRevision,relations,1
ProrrataRegularizacionFeedProjection,modelo_390_regularizacion_anual_value,1
RegistryCatalogues,parameters,1
RegistryRevisionInspection,relations,1
RegistrySchemaAccessor,source_root,1
RelationPrefillProvider,legal_refs,1
RelationPrefillProvider,source_refs,1
ValidatedRegistryAuthority,_registry_validated,1
ValidatedRegistryAuthority,_validated_modelos,1
object,age_years,1
object,authority_sources,1
object,available_end_amount,1
object,blocked,1
object,decided_at,1
object,divergence,1
object,dry_run,1
object,ejercicio,1
object,expiry_review_state,1
object,filing_year,1
object,final_result_amount,1
object,limit,1
object,local_recurrence_amount,1
object,model_dump,1
object,modelo,1
object,operator_explanation,1
object,output_root,1
object,override_amount,1
object,pending_for_later_amount,1
object,period_result_amount,1
object,presented_at,1
object,prior_pending_amount,1
object,provenance,1
object,reason_identity,1
object,remaining_amount,1
object,selected_amount,1
object,selected_authority,1
object,source,1
object,source_evidence_id,1
object,source_key,1
object,source_kind,1
object,source_locator,1
object,source_observation_key,1
object,source_period,1
object,stale_wallet,1
object,status,1
object,target_period,1
object,target_year,1
object,today,1
object,url,1
object,values,1
object,wallet_amount,1
object,wallet_captured_at,1
stmt,value,1
str,value,1
"tuple[ModeloDefinition, RegistryCatalogues]",id,1
"tuple[str, Any]",revisions,1
~None,action,1
~None,argument_bindings,1
~None,conditionality,1
~None,no_recovery_outcome,1
