left_rule,right_rule,weighted_count,file_count
missing-argument,unknown-argument,1005,167
missing-argument,unresolved-attribute,680,178
unknown-argument,unresolved-attribute,169,47
invalid-argument-type,unresolved-attribute,108,53
invalid-argument-type,missing-argument,82,42
not-iterable,unresolved-attribute,59,32
invalid-argument-type,missing-override-decorator,47,18
missing-override-decorator,unsound-return-statement,31,8
missing-argument,unresolved-import,26,19
invalid-argument-type,unsound-return-statement,20,15
missing-argument,not-iterable,20,12
call-non-callable,unknown-argument,18,8
invalid-argument-type,unknown-argument,18,7
call-non-callable,missing-argument,17,7
unresolved-attribute,unsound-return-statement,17,10
missing-override-decorator,unresolved-attribute,15,7
invalid-argument-type,not-iterable,13,10
invalid-argument-type,not-subscriptable,13,3
unresolved-attribute,unsound-assignment,13,10
call-non-callable,unresolved-attribute,12,4
unresolved-attribute,unresolved-import,9,8
no-matching-overload,unresolved-attribute,8,6
unsound-return-statement,unsupported-operator,8,3
invalid-argument-type,invalid-return-type,7,4
missing-argument,unsound-return-statement,7,7
invalid-assignment,unresolved-attribute,6,5
invalid-return-type,unresolved-attribute,6,6
invalid-return-type,unsound-return-statement,6,5
missing-argument,unresolved-reference,6,6
not-subscriptable,unresolved-attribute,6,2
invalid-argument-type,invalid-assignment,5,4
invalid-argument-type,unsupported-operator,5,3
invalid-return-type,missing-override-decorator,5,2
missing-argument,missing-override-decorator,5,3
missing-override-decorator,unsupported-operator,5,2
unresolved-attribute,unresolved-reference,5,5
unresolved-import,unsound-return-statement,5,5
invalid-argument-type,no-matching-overload,4,4
invalid-assignment,unsound-return-statement,4,3
missing-argument,unsound-assignment,4,4
not-subscriptable,unsound-return-statement,4,1
unresolved-attribute,unsupported-operator,4,2
unsound-assignment,unsound-return-statement,4,3
invalid-argument-type,unsound-assignment,3,3
invalid-assignment,missing-argument,3,3
missing-override-decorator,no-matching-overload,3,3
missing-override-decorator,not-subscriptable,3,1
not-iterable,not-subscriptable,3,2
not-iterable,unsound-assignment,3,3
not-iterable,unsound-return-statement,3,2
not-subscriptable,unsupported-operator,3,1
call-non-callable,invalid-argument-type,2,2
invalid-argument-type,possibly-unresolved-reference,2,1
invalid-argument-type,unresolved-import,2,2
invalid-assignment,missing-override-decorator,2,1
invalid-assignment,possibly-unresolved-reference,2,1
invalid-method-override,missing-override-decorator,2,2
missing-argument,too-many-positional-arguments,2,1
missing-override-decorator,possibly-unresolved-reference,2,1
missing-override-decorator,unsound-assignment,2,2
no-matching-overload,not-iterable,2,2
no-matching-overload,unsound-return-statement,2,2
not-iterable,unresolved-import,2,2
not-iterable,unsupported-operator,2,2
possibly-unresolved-reference,unresolved-attribute,2,2
possibly-unresolved-reference,unsound-return-statement,2,1
unknown-argument,unresolved-reference,2,2
unknown-argument,unsound-return-statement,2,2
unresolved-attribute,unsound-yield,2,2
call-non-callable,invalid-assignment,1,1
call-non-callable,unsound-return-statement,1,1
invalid-argument-type,invalid-method-override,1,1
invalid-argument-type,unresolved-reference,1,1
invalid-assignment,invalid-return-type,1,1
invalid-assignment,no-matching-overload,1,1
invalid-assignment,unknown-argument,1,1
invalid-assignment,unsound-assignment,1,1
invalid-method-override,no-matching-overload,1,1
invalid-method-override,not-iterable,1,1
invalid-method-override,not-subscriptable,1,1
invalid-method-override,unresolved-attribute,1,1
invalid-method-override,unsound-return-statement,1,1
invalid-method-override,unsupported-operator,1,1
invalid-return-type,no-matching-overload,1,1
invalid-return-type,unsound-assignment,1,1
missing-argument,missing-type-argument,1,1
missing-override-decorator,missing-type-argument,1,1
missing-override-decorator,not-iterable,1,1
missing-type-argument,unresolved-attribute,1,1
missing-type-argument,unsound-return-statement,1,1
no-matching-overload,not-subscriptable,1,1
no-matching-overload,possibly-unresolved-reference,1,1
no-matching-overload,unsound-assignment,1,1
no-matching-overload,unsupported-operator,1,1
possibly-unresolved-reference,unsound-assignment,1,1
unknown-argument,unsound-assignment,1,1
