rule,count,percent_total
unresolved-attribute,4405,38.12
missing-argument,3073,26.59
unknown-argument,1935,16.75
invalid-argument-type,1414,12.24
missing-override-decorator,278,2.41
unsound-return-statement,153,1.32
not-iterable,74,0.64
unresolved-import,55,0.48
not-subscriptable,33,0.29
invalid-return-type,22,0.19
unsound-assignment,22,0.19
call-non-callable,20,0.17
unresolved-reference,14,0.12
invalid-assignment,12,0.1
unsupported-operator,12,0.1
no-matching-overload,11,0.1
invalid-method-override,6,0.05
invalid-type-form,4,0.03
missing-type-argument,4,0.03
possibly-unresolved-reference,3,0.03
too-many-positional-arguments,2,0.02
unsound-yield,2,0.02
isinstance-against-protocol,1,0.01
