cluster,offender,count,file_count,top_subpatterns,top_files
RC1-class-static-member-access,IvaCategory,733,159,"[{""count"": 188, ""signal"": ""DOMESTIC_GENERAL""}, {""count"": 104, ""signal"": ""INTRA_COMMUNITY_SUPPLY""}, {""count"": 59, ""signal"": ""DOMESTIC_EXEMPT""}, {""count"": 47, ""signal"": ""EXPORT_THIRD_COUNTRY_ZERO_RATED""}, {""count"": 46, ""signal"": ""INTRA_COMMUNITY_ACQUISITION_REVERSE_CHARGE""}, {""count"": 45, ""signal"": ""DOMESTIC_REVERSE_CHARGE""}, {""count"": 35, ""signal"": ""DOMESTIC_REDUCED""}, {""count"": 31, ""signal"": ""DOMESTIC_SUPER_REDUCED""}, {""count"": 25, ""signal"": ""INTRA_COMMUNITY_SERVICE_ACQUISITION_REVERSE_CHARGE""}, {""count"": 21, ""signal"": ""RECARGO_EQUIVALENCIA""}, {""count"": 20, ""signal"": ""IMPORT_THIRD_COUNTRY""}, {""count"": 18, ""signal"": ""DOMESTIC_ZERO""}, {""count"": 18, ""signal"": ""OPERACION_NO_SUJETA""}, {""count"": 17, ""signal"": ""DOMESTIC_NOT_SUBJECT""}, {""count"": 16, ""signal"": ""UNKNOWN""}, {""count"": 13, ""signal"": ""INTRA_COMMUNITY_SERVICE_SUPPLY""}, {""count"": 11, ""signal"": ""EXPORT_ASSIMILATED_ZERO_RATED""}, {""count"": 7, ""signal"": ""ERRONEOUS_INVOICE""}, {""count"": 4, ""signal"": ""INTRA_COMMUNITY_TRIANGULATION""}, {""count"": 4, ""signal"": ""REAGP_COMPENSATION""}]","[{""count"": 47, ""path"": ""src/cadrumo/adapters/persistence/profile/tests/test_source_resolver.py""}, {""count"": 33, ""path"": ""src/cadrumo/domain/iva/tests/test_saturation.py""}, {""count"": 30, ""path"": ""src/cadrumo/application/ledger/tests/test_ingestion_category_resolution.py""}, {""count"": 22, ""path"": ""dev/registry/tests/test_ledger_iva_aggregation_binding_reverse_charge.py""}, {""count"": 20, ""path"": ""src/cadrumo/domain/iva/tests/test_classification.py""}, {""count"": 20, ""path"": ""src/cadrumo/domain/iva/tests/test_flow.py""}, {""count"": 18, ""path"": ""src/cadrumo/application/aggregation/tests/test_iva_ledger_candidates.py""}, {""count"": 15, ""path"": ""dev/registry/tests/test_ledger_iva_aggregation_binding_exports_recargo.py""}, {""count"": 15, ""path"": ""src/cadrumo/application/aggregation/tests/test_intracom_export.py""}, {""count"": 15, ""path"": ""src/cadrumo/domain/invoices/tests/test_decomposition.py""}, {""count"": 15, ""path"": ""src/cadrumo/domain/iva/tests/test_intra_community_identification_axis.py""}, {""count"": 13, ""path"": ""src/cadrumo/application/aggregation/tests/test_unrouted_iva_quantity_screen.py""}, {""count"": 12, ""path"": ""dev/registry/tests/test_creation.py""}, {""count"": 12, ""path"": ""src/cadrumo/adapters/persistence/profile/tests/test_prorrata_regularizacion.py""}, {""count"": 12, ""path"": ""src/cadrumo/domain/iva/tests/test_outbound_service_localisation.py""}, {""count"": 11, ""path"": ""src/cadrumo/domain/iva/tests/test_invoice_classification.py""}, {""count"": 10, ""path"": ""src/cadrumo/application/aggregation/tests/test_income_withheld_derivation.py""}, {""count"": 10, ""path"": ""src/cadrumo/application/aggregation/tests/test_iva_ledger.py""}, {""count"": 10, ""path"": ""src/cadrumo/application/aggregation/tests/test_non_arising_category_side_is_refused.py""}, {""count"": 9, ""path"": ""src/cadrumo/application/aggregation/tests/test_iva_deduction_fact_taxonomy.py""}]"
RC1-class-static-member-access,IvaTerritorialScope,348,39,"[{""count"": 147, ""signal"": ""ES_MAINLAND""}, {""count"": 79, ""signal"": ""EU_MEMBER""}, {""count"": 64, ""signal"": ""ES_CANARIAS""}, {""count"": 38, ""signal"": ""THIRD_COUNTRY""}, {""count"": 20, ""signal"": ""ES_CEUTA_MELILLA""}]","[{""count"": 32, ""path"": ""src/cadrumo/domain/iva/tests/test_intra_community_identification_axis.py""}, {""count"": 31, ""path"": ""src/cadrumo/application/ledger/tests/test_classification_assembly.py""}, {""count"": 29, ""path"": ""src/cadrumo/domain/iva/tests/test_classification.py""}, {""count"": 23, ""path"": ""src/cadrumo/application/ledger/tests/test_establishment_ladder.py""}, {""count"": 21, ""path"": ""src/cadrumo/application/ledger/tests/test_counterparty_establishment.py""}, {""count"": 21, ""path"": ""src/cadrumo/domain/iva/tests/test_party_fact_split.py""}, {""count"": 19, ""path"": ""src/cadrumo/application/ledger/tests/test_supply_nature_operator_assertion.py""}, {""count"": 14, ""path"": ""src/cadrumo/application/ledger/tests/test_party_fact_demand.py""}, {""count"": 14, ""path"": ""src/cadrumo/domain/iva/tests/test_outbound_service_localisation.py""}, {""count"": 13, ""path"": ""src/cadrumo/entrypoints/cli/tests/test_ledger_counterparty_cli.py""}, {""count"": 12, ""path"": ""src/cadrumo/domain/iva/tests/test_oss.py""}, {""count"": 9, ""path"": ""src/cadrumo/domain/iva/tests/test_territory_carve_outs.py""}, {""count"": 8, ""path"": ""src/cadrumo/domain/iva/tests/test_classification_carries_place_of_supply.py""}, {""count"": 8, ""path"": ""src/cadrumo/domain/iva/tests/test_establishment.py""}, {""count"": 8, ""path"": ""src/cadrumo/domain/iva/tests/test_spanish_territory.py""}, {""count"": 7, ""path"": ""src/cadrumo/adapters/persistence/profile/tests/test_structured_path_country_codes.py""}, {""count"": 6, ""path"": ""src/cadrumo/application/ledger/tests/test_counterparty_identification_fact.py""}, {""count"": 6, ""path"": ""src/cadrumo/application/ledger/tests/test_filer_establishment_setup_refusal.py""}, {""count"": 5, ""path"": ""src/cadrumo/application/ledger/tests/test_counterparty_confirmation_outcome.py""}, {""count"": 5, ""path"": ""src/cadrumo/application/ledger/tests/test_registration_concordance.py""}]"
RC1-class-static-member-access,SpendingCategory,304,53,"[{""count"": 47, ""signal"": ""MATERIAL_OFICINA""}, {""count"": 47, ""signal"": ""TELEFONIA_MOVIL""}, {""count"": 35, ""signal"": ""SUMINISTROS_HOME_OFFICE_LUZ""}, {""count"": 31, ""signal"": ""GASTOS_BANCARIOS""}, {""count"": 24, ""signal"": ""CUOTAS_AUTONOMOS_SS""}, {""count"": 16, ""signal"": ""ASESORIA_FISCAL""}, {""count"": 9, ""signal"": ""ARRENDAMIENTO_VIVIENDA_AFECTO""}, {""count"": 9, ""signal"": ""SUMINISTROS_HOME_OFFICE_INTERNET""}, {""count"": 8, ""signal"": ""MANUTENCION_DIETAS_NACIONAL""}, {""count"": 8, ""signal"": ""MUTUALIDAD_ALTERNATIVA""}, {""count"": 8, ""signal"": ""SEGUROS_SALUD_AUTONOMO""}, {""count"": 7, ""signal"": ""HARDWARE_AMORTIZABLE""}, {""count"": 7, ""signal"": ""SOFTWARE_SUSCRIPCION""}, {""count"": 6, ""signal"": ""ASESORIA_CONTABLE""}, {""count"": 5, ""signal"": ""SUMINISTROS_HOME_OFFICE_AGUA""}, {""count"": 5, ""signal"": ""TELEFONIA_FIJA""}, {""count"": 4, ""signal"": ""ARRENDAMIENTO_LOCAL""}, {""count"": 4, ""signal"": ""GASTOS_FINANCIEROS""}, {""count"": 4, ""signal"": ""IBI_VIVIENDA_AFECTO""}, {""count"": 4, ""signal"": ""PUBLICIDAD_MARKETING""}]","[{""count"": 47, ""path"": ""src/cadrumo/domain/renta/tests/test_ledger_expenses.py""}, {""count"": 39, ""path"": ""src/cadrumo/domain/usage_ratios/tests/test_model.py""}, {""count"": 22, ""path"": ""src/cadrumo/application/aggregation/tests/test_renta_ledger_aggregation.py""}, {""count"": 19, ""path"": ""src/cadrumo/application/aggregation/tests/test_renta_ledger.py""}, {""count"": 16, ""path"": ""src/cadrumo/adapters/persistence/profile/tests/test_renta_ledger.py""}, {""count"": 14, ""path"": ""src/cadrumo/adapters/persistence/profile/tests/test_usage_ratios_censo_refuse_load.py""}, {""count"": 12, ""path"": ""src/cadrumo/adapters/persistence/profile/tests/test_preflight_home_office.py""}, {""count"": 10, ""path"": ""src/cadrumo/application/ledger/tests/test_ratios_censo_override.py""}, {""count"": 9, ""path"": ""src/cadrumo/domain/calculations/registry/tests/test_ledger_renta_gastos_estimacion_directa_binding.py""}, {""count"": 8, ""path"": ""dev/registry/tests/test_ledger_expense_chain_aeat_local_worked_example.py""}, {""count"": 7, ""path"": ""src/cadrumo/domain/usage_ratios/tests/test_censo_derivation.py""}, {""count"": 7, ""path"": ""src/cadrumo/entrypoints/cli/tests/test_ledger_ratios_verbs.py""}, {""count"": 6, ""path"": ""src/cadrumo/adapters/persistence/profile/tests/test_e2e_ledger_m130_quarters_to_m100_annual.py""}, {""count"": 5, ""path"": ""src/cadrumo/adapters/persistence/profile/tests/test_actions_create_usage_ratio.py""}, {""count"": 5, ""path"": ""src/cadrumo/domain/categories/tests/test_registry.py""}, {""count"": 5, ""path"": ""src/cadrumo/entrypoints/cli/tests/test_modelo_source_mesh_calculate.py""}, {""count"": 4, ""path"": ""src/cadrumo/adapters/outbound/llm/tests/test_llm_vision_classifier.py""}, {""count"": 4, ""path"": ""src/cadrumo/adapters/persistence/profile/tests/test_renta_ledger_prorrata_repository.py""}, {""count"": 4, ""path"": ""src/cadrumo/adapters/persistence/profile/tests/test_usage_ratios_runtime.py""}, {""count"": 4, ""path"": ""src/cadrumo/domain/categories/tests/test_profile.py""}]"
RC1-class-static-member-access,IvaRateKind,293,68,"[{""count"": 168, ""signal"": ""GENERAL""}, {""count"": 51, ""signal"": ""REDUCED""}, {""count"": 40, ""signal"": ""SUPER_REDUCED""}, {""count"": 25, ""signal"": ""ZERO""}, {""count"": 9, ""signal"": ""EXEMPT""}]","[{""count"": 17, ""path"": ""src/cadrumo/application/aggregation/tests/test_iva_ledger_candidates.py""}, {""count"": 16, ""path"": ""src/cadrumo/domain/iva/tests/test_legal_basis_rate_grounding.py""}, {""count"": 16, ""path"": ""src/cadrumo/domain/iva/tests/test_rate_grounding.py""}, {""count"": 13, ""path"": ""dev/registry/tests/test_ledger_iva_aggregation_binding_exports_recargo.py""}, {""count"": 12, ""path"": ""src/cadrumo/application/ledger/tests/test_ingestion_category_resolution.py""}, {""count"": 12, ""path"": ""src/cadrumo/domain/iva/tests/test_invoice_classification.py""}, {""count"": 10, ""path"": ""src/cadrumo/application/aggregation/tests/test_oss_ioss.py""}, {""count"": 10, ""path"": ""src/cadrumo/application/ledger/tests/test_classification_assembly.py""}, {""count"": 10, ""path"": ""src/cadrumo/domain/iva/tests/test_rates.py""}, {""count"": 9, ""path"": ""src/cadrumo/application/aggregation/tests/test_iva_ledger.py""}, {""count"": 9, ""path"": ""src/cadrumo/domain/calculations/registry/tests/test_modelo_390_rate_box_layer.py""}, {""count"": 7, ""path"": ""dev/registry/tests/test_iva_rate_provider.py""}, {""count"": 7, ""path"": ""dev/registry/tests/test_ledger_iva_aggregation_binding_reverse_charge.py""}, {""count"": 7, ""path"": ""dev/registry/tests/test_modelo_390_base_imponible_bindings.py""}, {""count"": 7, ""path"": ""src/cadrumo/application/aggregation/tests/test_iva_deduction_fact_taxonomy.py""}, {""count"": 7, ""path"": ""src/cadrumo/application/aggregation/tests/test_modelo_390_rate_box_ledger_reachability.py""}, {""count"": 7, ""path"": ""src/cadrumo/domain/calculations/registry/tests/test_modelo_390_rate_box_reachability.py""}, {""count"": 7, ""path"": ""src/cadrumo/domain/iva/tests/test_classification.py""}, {""count"": 6, ""path"": ""dev/registry/tests/test_m390_2024_annual_manual_worked_example.py""}, {""count"": 6, ""path"": ""dev/registry/tests/test_modelo_390_aic_isp_routing_split.py""}]"
RC1-class-static-member-access,EUMemberState,242,52,"[{""count"": 90, ""signal"": ""DE""}, {""count"": 69, ""signal"": ""ES""}, {""count"": 26, ""signal"": ""FR""}, {""count"": 11, ""signal"": ""XI""}, {""count"": 6, ""signal"": ""IT""}, {""count"": 5, ""signal"": ""RO""}, {""count"": 4, ""signal"": ""GR""}, {""count"": 3, ""signal"": ""DK""}, {""count"": 3, ""signal"": ""EE""}, {""count"": 3, ""signal"": ""FI""}, {""count"": 3, ""signal"": ""LT""}, {""count"": 2, ""signal"": ""IE""}, {""count"": 2, ""signal"": ""NL""}, {""count"": 1, ""signal"": ""AT""}, {""count"": 1, ""signal"": ""BE""}, {""count"": 1, ""signal"": ""BG""}, {""count"": 1, ""signal"": ""CY""}, {""count"": 1, ""signal"": ""CZ""}, {""count"": 1, ""signal"": ""HR""}, {""count"": 1, ""signal"": ""HU""}]","[{""count"": 46, ""path"": ""src/cadrumo/domain/iva/tests/test_rate_grounding.py""}, {""count"": 14, ""path"": ""src/cadrumo/domain/iva/tests/test_intra_community_identification_axis.py""}, {""count"": 12, ""path"": ""src/cadrumo/application/aggregation/tests/test_identification_is_never_derived_from_country.py""}, {""count"": 12, ""path"": ""src/cadrumo/application/aggregation/tests/test_oss_ioss.py""}, {""count"": 10, ""path"": ""src/cadrumo/application/ledger/tests/test_counterparty_identification_fact.py""}, {""count"": 9, ""path"": ""src/cadrumo/domain/iva/tests/test_party_fact_split.py""}, {""count"": 8, ""path"": ""src/cadrumo/domain/invoices/tests/test_invoice_intracommunity_destination.py""}, {""count"": 8, ""path"": ""src/cadrumo/domain/iva/tests/test_classification.py""}, {""count"": 7, ""path"": ""dev/registry/tests/test_iva_rate_provider.py""}, {""count"": 7, ""path"": ""src/cadrumo/domain/invoices/tests/test_rate_coverage_versus_legality.py""}, {""count"": 7, ""path"": ""src/cadrumo/domain/iva/tests/test_legal_basis_rate_grounding.py""}, {""count"": 7, ""path"": ""src/cadrumo/domain/iva/tests/test_rates.py""}, {""count"": 7, ""path"": ""src/cadrumo/entrypoints/cli/tests/test_ledger_counterparty_cli.py""}, {""count"": 6, ""path"": ""src/cadrumo/application/aggregation/tests/test_intracom_identification_not_establishment.py""}, {""count"": 6, ""path"": ""src/cadrumo/domain/iva/tests/test_oss.py""}, {""count"": 5, ""path"": ""src/cadrumo/domain/iva/tests/test_rdl_20_2022_food_window_classifies.py""}, {""count"": 4, ""path"": ""src/cadrumo/adapters/persistence/profile/tests/test_dormant_m369_oss_resolver_live.py""}, {""count"": 4, ""path"": ""src/cadrumo/adapters/persistence/profile/tests/test_invoice_identification_state_storage_roundtrip.py""}, {""count"": 4, ""path"": ""src/cadrumo/application/ledger/tests/test_establishment_ladder.py""}, {""count"": 3, ""path"": ""src/cadrumo/adapters/outbound/llm/tests/test_invoice_field_contract.py""}]"
RC1-class-static-member-access,IvaRate,219,74,"[{""count"": 110, ""signal"": ""RATE_21""}, {""count"": 31, ""signal"": ""EXEMPT""}, {""count"": 19, ""signal"": ""RATE_10""}, {""count"": 15, ""signal"": ""RATE_0""}, {""count"": 15, ""signal"": ""RATE_2""}, {""count"": 12, ""signal"": ""RATE_4""}, {""count"": 9, ""signal"": ""NOT_SUBJECT""}, {""count"": 4, ""signal"": ""RATE_5""}, {""count"": 4, ""signal"": ""RATE_7_5""}]","[{""count"": 26, ""path"": ""src/cadrumo/domain/iva/tests/test_invoice_classification.py""}, {""count"": 25, ""path"": ""src/cadrumo/domain/iva/tests/test_legal_basis_rate_grounding.py""}, {""count"": 18, ""path"": ""src/cadrumo/domain/invoices/tests/test_models.py""}, {""count"": 11, ""path"": ""src/cadrumo/domain/invoices/tests/test_rate_parity.py""}, {""count"": 10, ""path"": ""src/cadrumo/domain/calculations/registry/tests/test_modelo_390_rate_box_reachability.py""}, {""count"": 7, ""path"": ""src/cadrumo/domain/invoices/tests/test_decomposition.py""}, {""count"": 6, ""path"": ""src/cadrumo/application/aggregation/tests/test_invoice_declared_category_survives.py""}, {""count"": 6, ""path"": ""src/cadrumo/domain/calculations/registry/tests/test_modelo_390_recargo_rate_box_layer.py""}, {""count"": 6, ""path"": ""src/cadrumo/domain/invoices/tests/test_rate_coverage_versus_legality.py""}, {""count"": 5, ""path"": ""dev/registry/tests/test_creation.py""}, {""count"": 5, ""path"": ""src/cadrumo/adapters/persistence/profile/tests/test_source_resolver.py""}, {""count"": 5, ""path"": ""src/cadrumo/application/aggregation/tests/test_invoice_line_currency_refusal.py""}, {""count"": 3, ""path"": ""src/cadrumo/application/aggregation/tests/test_invoice_screen_exempt_lines.py""}, {""count"": 3, ""path"": ""src/cadrumo/application/aggregation/tests/test_modelo_source_mesh_ledger.py""}, {""count"": 3, ""path"": ""src/cadrumo/application/aggregation/tests/test_recargo_rate_advisory.py""}, {""count"": 3, ""path"": ""src/cadrumo/domain/invoices/tests/test_catalogue.py""}, {""count"": 2, ""path"": ""src/cadrumo/adapters/persistence/profile/tests/test_evidence_confirm_multi_rate.py""}, {""count"": 2, ""path"": ""src/cadrumo/adapters/persistence/profile/tests/test_invoice_optional_monetary_fields_reload.py""}, {""count"": 2, ""path"": ""src/cadrumo/adapters/persistence/profile/tests/test_invoice_retencion_routing_store.py""}, {""count"": 2, ""path"": ""src/cadrumo/adapters/persistence/profile/tests/test_invoice_retencion_store_roundtrip.py""}]"
RC1-class-static-member-access,IVARegime,197,87,"[{""count"": 170, ""signal"": ""GENERAL""}, {""count"": 9, ""signal"": ""EXENTO""}, {""count"": 8, ""signal"": ""SIMPLIFICADO""}, {""count"": 4, ""signal"": ""NO_APLICA""}, {""count"": 4, ""signal"": ""REAGP""}, {""count"": 2, ""signal"": ""RECARGO_EQUIVALENCIA""}]","[{""count"": 34, ""path"": ""src/cadrumo/domain/deadlines/tests/test_taxpayer_model.py""}, {""count"": 20, ""path"": ""src/cadrumo/application/overview/tests/test_applicability.py""}, {""count"": 8, ""path"": ""src/cadrumo/adapters/persistence/profile/tests/test_export_output_paths.py""}, {""count"": 8, ""path"": ""src/cadrumo/application/overview/tests/test_calendar_taxpayer_model.py""}, {""count"": 4, ""path"": ""dev/registry/tests/test_modelo_303_registry_schedules.py""}, {""count"": 4, ""path"": ""src/cadrumo/application/overview/tests/test_calendar_applicability_consistency.py""}, {""count"": 4, ""path"": ""src/cadrumo/domain/calculations/registry/tests/test_modelo_303_registry_schedules.py""}, {""count"": 3, ""path"": ""dev/registry/tests/test_applicability_registry_cutover.py""}, {""count"": 3, ""path"": ""src/cadrumo/application/ledger/tests/test_classifier_inputs.py""}, {""count"": 3, ""path"": ""src/cadrumo/application/modelo/tests/test_actions.py""}, {""count"": 3, ""path"": ""src/cadrumo/application/modelo/tests/test_result_disposition_resolution.py""}, {""count"": 3, ""path"": ""src/cadrumo/application/overview/tests/test_obligation_coverage.py""}, {""count"": 3, ""path"": ""src/cadrumo/domain/deadlines/tests/test_corporate_tax_profile_facts.py""}, {""count"": 3, ""path"": ""src/cadrumo/entrypoints/cli/tests/test_modelo_202_modality.py""}, {""count"": 2, ""path"": ""src/cadrumo/adapters/persistence/profile/tests/_iva_wallet_engine_support.py""}, {""count"": 2, ""path"": ""src/cadrumo/adapters/persistence/profile/tests/test_cross_period_clean_state_gates.py""}, {""count"": 2, ""path"": ""src/cadrumo/adapters/persistence/profile/tests/test_e2e_ledger_m130_quarters_to_m100_annual.py""}, {""count"": 2, ""path"": ""src/cadrumo/adapters/persistence/profile/tests/test_e2e_ledger_m303_quarters_to_m390_annual.py""}, {""count"": 2, ""path"": ""src/cadrumo/adapters/persistence/profile/tests/test_export_result_disposition.py""}, {""count"": 2, ""path"": ""src/cadrumo/adapters/persistence/profile/tests/test_filed_history_discovery.py""}]"
RC1-class-static-member-access,IvaFlowDirection,182,39,"[{""count"": 77, ""signal"": ""REPERCUTIDO""}, {""count"": 58, ""signal"": ""SOPORTADO""}, {""count"": 40, ""signal"": ""INVERSION_SUJETO_PASIVO""}, {""count"": 7, ""signal"": ""OPERACION_CON_INVERSION""}]","[{""count"": 38, ""path"": ""src/cadrumo/domain/iva/tests/test_flow.py""}, {""count"": 13, ""path"": ""dev/registry/tests/test_ledger_iva_aggregation_binding_exports_recargo.py""}, {""count"": 13, ""path"": ""src/cadrumo/application/aggregation/tests/test_iva_ledger_candidates.py""}, {""count"": 12, ""path"": ""dev/registry/tests/test_ledger_iva_aggregation_binding_reverse_charge.py""}, {""count"": 9, ""path"": ""src/cadrumo/domain/iva/tests/test_invoice_classification.py""}, {""count"": 8, ""path"": ""src/cadrumo/application/aggregation/tests/test_iva_deduction_fact_taxonomy.py""}, {""count"": 7, ""path"": ""dev/registry/tests/test_modelo_390_base_imponible_bindings.py""}, {""count"": 6, ""path"": ""dev/registry/tests/test_m390_2024_annual_manual_worked_example.py""}, {""count"": 6, ""path"": ""src/cadrumo/application/calculations/tests/test_modelo_322_grupo_individual_continuity.py""}, {""count"": 5, ""path"": ""src/cadrumo/adapters/persistence/profile/tests/test_binding_prefill.py""}, {""count"": 5, ""path"": ""src/cadrumo/application/aggregation/tests/test_iva_ledger.py""}, {""count"": 5, ""path"": ""src/cadrumo/domain/calculations/registry/tests/test_modelo_303_registry_bindings.py""}, {""count"": 4, ""path"": ""dev/registry/tests/test_modelo_390_aic_isp_routing_split.py""}, {""count"": 4, ""path"": ""src/cadrumo/adapters/inbound/financial/tests/test_ledger_corpus_fidelity.py""}, {""count"": 4, ""path"": ""src/cadrumo/adapters/persistence/profile/tests/test_modelo_390_303_reconciliation_continuity.py""}, {""count"": 4, ""path"": ""src/cadrumo/domain/calculations/registry/tests/test_binding_reachability_probe.py""}, {""count"": 3, ""path"": ""dev/registry/tests/test_modelo_303_aic_box_10_base_projection.py""}, {""count"": 3, ""path"": ""src/cadrumo/adapters/persistence/profile/tests/test_modelo_353_grupo_aggregation_continuity.py""}, {""count"": 3, ""path"": ""src/cadrumo/adapters/persistence/profile/tests/test_prorrata_regularizacion.py""}, {""count"": 3, ""path"": ""src/cadrumo/application/calculations/tests/test_prorrata_art104_tres_exclusion_oracle.py""}]"
RC1-class-static-member-access,ProrrataRegisterRegime,161,32,"[{""count"": 109, ""signal"": ""GENERAL""}, {""count"": 39, ""signal"": ""ESPECIAL""}, {""count"": 13, ""signal"": ""NINGUNA""}]","[{""count"": 42, ""path"": ""src/cadrumo/domain/prorrata_register/tests/test_prorrata_register.py""}, {""count"": 13, ""path"": ""src/cadrumo/adapters/persistence/profile/tests/test_iva_ledger_prorrata_apportionment.py""}, {""count"": 12, ""path"": ""src/cadrumo/application/aggregation/tests/test_m303_arrivals.py""}, {""count"": 10, ""path"": ""src/cadrumo/application/prorrata_register/tests/test_service.py""}, {""count"": 10, ""path"": ""src/cadrumo/entrypoints/cli/tests/test_prorrata_register_cli.py""}, {""count"": 7, ""path"": ""src/cadrumo/adapters/persistence/profile/tests/test_prorrata_especial_mandatory_live_emit.py""}, {""count"": 7, ""path"": ""src/cadrumo/adapters/persistence/profile/tests/test_prorrata_register_roundtrip.py""}, {""count"": 6, ""path"": ""dev/registry/tests/test_modelo_303_differentiated_deduction_endpoints.py""}, {""count"": 5, ""path"": ""src/cadrumo/adapters/persistence/profile/tests/test_prorrata_especial_art106_oracle.py""}, {""count"": 5, ""path"": ""src/cadrumo/adapters/persistence/profile/tests/test_prorrata_register_service.py""}, {""count"": 5, ""path"": ""src/cadrumo/adapters/persistence/profile/tests/test_prorrata_settlement_writeback.py""}, {""count"": 5, ""path"": ""src/cadrumo/application/filing/tests/test_producer_snapshot.py""}, {""count"": 3, ""path"": ""src/cadrumo/adapters/persistence/profile/tests/test_renta_gasto_aggregation.py""}, {""count"": 3, ""path"": ""src/cadrumo/adapters/persistence/profile/tests/test_renta_ledger_prorrata_repository.py""}, {""count"": 3, ""path"": ""src/cadrumo/application/aggregation/tests/test_prorrata_regime_gate_parity.py""}, {""count"": 3, ""path"": ""src/cadrumo/application/calculations/tests/test_prorrata_applicability.py""}, {""count"": 2, ""path"": ""dev/registry/tests/test_modelo_303_prorrata_activity_endpoints.py""}, {""count"": 2, ""path"": ""src/cadrumo/adapters/persistence/profile/tests/test_overrides.py""}, {""count"": 2, ""path"": ""src/cadrumo/adapters/persistence/profile/tests/test_prorrata_operator_ingress_end_to_end.py""}, {""count"": 2, ""path"": ""src/cadrumo/adapters/persistence/storage/tests/test_sectores_diferenciados_verification.py""}]"
RC1-class-static-member-access,IvaDeductionFactKind,111,50,"[{""count"": 59, ""signal"": ""DOMESTIC_CURRENT""}, {""count"": 28, ""signal"": ""INTRA_EU_CURRENT""}, {""count"": 9, ""signal"": ""IMPORT_CURRENT""}, {""count"": 6, ""signal"": ""INVESTMENT_GOODS_REGULARISATION""}, {""count"": 5, ""signal"": ""DOMESTIC_INVESTMENT""}, {""count"": 3, ""signal"": ""RECTIFICATION""}, {""count"": 1, ""signal"": ""REAGP_COMPENSATION""}]","[{""count"": 16, ""path"": ""dev/registry/tests/test_ledger_iva_aggregation_binding_reverse_charge.py""}, {""count"": 9, ""path"": ""src/cadrumo/application/aggregation/tests/test_iva_deduction_fact_taxonomy.py""}, {""count"": 8, ""path"": ""dev/registry/tests/test_m390_2024_annual_manual_worked_example.py""}, {""count"": 8, ""path"": ""dev/registry/tests/test_modelo_390_aic_isp_routing_split.py""}, {""count"": 7, ""path"": ""dev/registry/tests/test_modelo_303_differentiated_deduction_endpoints.py""}, {""count"": 4, ""path"": ""src/cadrumo/application/aggregation/tests/test_unrouted_iva_quantity_screen.py""}, {""count"": 3, ""path"": ""dev/registry/tests/test_modelo_303_aic_box_10_base_projection.py""}, {""count"": 3, ""path"": ""src/cadrumo/application/aggregation/tests/test_iva_ledger.py""}, {""count"": 3, ""path"": ""src/cadrumo/domain/iva/tests/test_invoice_classification.py""}, {""count"": 2, ""path"": ""dev/registry/tests/test_ledger_iva_aggregation_binding_exports_recargo.py""}, {""count"": 2, ""path"": ""dev/registry/tests/test_m322_2024_grupo_entidades_manual_worked_example.py""}, {""count"": 2, ""path"": ""dev/registry/tests/test_m353_2024_grupo_entidades_manual_worked_example.py""}, {""count"": 2, ""path"": ""dev/registry/tests/test_modelo_309_registry.py""}, {""count"": 2, ""path"": ""dev/registry/tests/test_modelo_322_registry.py""}, {""count"": 2, ""path"": ""src/cadrumo/adapters/persistence/profile/tests/test_e2e_ledger_m303_quarters_to_m390_annual.py""}, {""count"": 2, ""path"": ""src/cadrumo/application/aggregation/tests/test_iva_ledger_candidates.py""}, {""count"": 2, ""path"": ""src/cadrumo/application/aggregation/tests/test_non_arising_category_side_is_refused.py""}, {""count"": 2, ""path"": ""src/cadrumo/domain/calculations/registry/tests/test_modelo_303_registry_bindings.py""}, {""count"": 1, ""path"": ""dev/registry/edition_export_scenarios.py""}, {""count"": 1, ""path"": ""dev/registry/pipeline/test_m303_generated_envelope_proof.py""}]"
